taxon_name,family_common_name,taxon_scientific_name,family_scientific_name,order,population,status
Ostrich,Ostriches,Struthio camelus,Struthionidae,Struthioniformes,Introduced,Introduced
Southern Cassowary,Emus and Cassowaries,Casuarius casuarius,Casuariidae,Struthioniformes,Australian,Vulnerable
Emu,Emus and Cassowaries,Dromaius novaehollandiae,Casuariidae,Struthioniformes,Endemic,Least concern
Australian Brush-turkey,Megapodes,Alectura lathami,Megapodiidae,Galliformes,Endemic,Least concern
Malleefowl,Megapodes,Leipoa ocellata,Megapodiidae,Galliformes,Endemic,Vulnerable
Orange-footed Scrubfowl,Megapodes,Megapodius reinwardt,Megapodiidae,Galliformes,Australian,Least concern
Stubble Quail,Pheasants and Quail,Coturnix pectoralis,Phasianidae,Galliformes,Endemic,Least concern
Brown Quail,Pheasants and Quail,Synoicus ypsilophora,Phasianidae,Galliformes,Australian,Least concern
King Quail,Pheasants and Quail,Synoicus chinensis,Phasianidae,Galliformes,Australian,Least concern
Helmeted Guineafowl,Guineafowl,Numida meleagris,Numididae,Galliformes,Introduced,Introduced
California Quail,New World Quail,Callipepla californica,Odontophoridae,Galliformes,Introduced,Introduced
Indian Peafowl,Pheasants and Quail,Pavo cristatus,Phasianidae,Galliformes,Introduced,Introduced
Common Pheasant,Pheasants and Quail,Phasianus colchicus,Phasianidae,Galliformes,Introduced,Introduced
Wild Turkey,Pheasants and Quail,Meleagris gallopavo,Phasianidae,Galliformes,Introduced,Introduced
Magpie Goose,Magpie Goose,Anseranas semipalmata,Anseranatidae,Anseriformes,Australian,Least concern
Spotted Whistling-Duck,"Ducks, Geese and Swans",Dendrocygna guttata,Anatidae,Anseriformes,Australian,Least concern
Plumed Whistling-Duck,"Ducks, Geese and Swans",Dendrocygna eytoni,Anatidae,Anseriformes,Australian,Least concern
Wandering Whistling-Duck,"Ducks, Geese and Swans",Dendrocygna arcuata,Anatidae,Anseriformes,Australian,Least concern
Blue-billed Duck,"Ducks, Geese and Swans",Oxyura australis,Anatidae,Anseriformes,Endemic,Near threatened
Pink-eared Duck,"Ducks, Geese and Swans",Malacorhynchus membranaceus,Anatidae,Anseriformes,Endemic,Least concern
Cape Barren Goose,"Ducks, Geese and Swans",Cereopsis novaehollandiae,Anatidae,Anseriformes,Endemic,Least concern
Black Swan,"Ducks, Geese and Swans",Cygnus atratus,Anatidae,Anseriformes,Endemic,Least concern
Radjah Shelduck,"Ducks, Geese and Swans",Radjah radjah,Anatidae,Anseriformes,Australian,Least concern
Australian Shelduck,"Ducks, Geese and Swans",Tadorna tadornoides,Anatidae,Anseriformes,Endemic,Least concern
Hardhead,"Ducks, Geese and Swans",Aythya australis,Anatidae,Anseriformes,Australian,Least concern
